x1_rand_0_1000,cat_x1_250,x2_3x1_20perc,cat_x2_700,x3_4xsquared_50perc,cat_x3_500000,y,null_20perc
636,,,,,,,1
514,,,,,,,1
809,,,,,,,1
128,,,,,,,1
583,,,,,,,1
503,0,1541,0,1012178,0,"37805339,7",0
111,,,,,,,1
494,0,1522,0,976170,0,"35800455,4",0
26,,,,,,,1
275,,,,,,,1
73,1,215,1,21301,1,"109590,2",0
813,,,,,,,1
892,,,,,,,1
661,,,,,,,1
771,,,,,,,1
354,,,,,,,1
346,0,1054,0,478941,1,"12252231,7",0
196,,,,,,,1
79,,,,,,,1
810,0,2409,0,2624677,0,"158534111,5",0
128,1,382,1,65489,1,"606509,7",0
70,,,,,,,1
1000,,,,,,,1
481,,,,,,,1
67,,,,,,,1
292,0,871,0,341023,1,"7351500,5",0
115,1,345,1,52852,1,"437742,7",0
702,,,,,,,1
130,,,,,,,1
106,1,320,1,44904,1,"341315,2",0
424,,,,,,,1
914,,,,,,,1
195,,,,,,,1
856,0,2684,0,2931217,0,"187018955,3",0
880,,,,,,,1
914,,,,,,,1
348,,,,,,,1
740,,,,,,,1
365,,,,,,,1
402,,,,,,,1
933,0,2851,0,3481524,0,"242372383,3",0
180,,,,,,,1
514,,,,,,,1
101,,,,,,,1
755,,,,,,,1
763,,,,,,,1
729,,,,,,,1
419,0,1319,0,702168,0,"21790282,3",0
826,,,,,,,1
85,,,,,,,1
989,,,,,,,1
820,,,,,,,1
755,0,2337,0,2280045,0,"128246353,2",0
172,,,,,,,1
558,0,1672,0,1245277,0,"51687744,5",0
818,0,2431,0,2676673,0,"163288744,7",0
485,,,,,,,1
495,,,,,,,1
504,,,,,,,1
792,0,2516,0,2509192,0,"148022794,4",0
301,0,925,0,362313,1,"8046376,6",0
78,1,221,1,24332,1,"135030,6",0
8,,,,,,,1
599,,,,,,,1
227,,,,,,,1
585,,,,,,,1
816,,,,,,,1
340,,,,,,,1
711,,,,,,,1
775,,,,,,,1
811,,,,,,,1
461,,,,,,,1
237,,,,,,,1
239,1,720,0,228512,1,"4014746,9",0
639,,,,,,,1
797,0,2262,0,2540527,0,"151109195,8",0
888,,,,,,,1
837,,,,,,,1
478,0,1443,0,914049,0,"32439560,7",0
90,,,,,,,1
104,,,,,,,1
837,,,,,,,1
558,0,1585,0,1245304,0,51744419,0
969,,,,,,,1
940,,,,,,,1
397,,,,,,,1
817,,,,,,,1
374,,,,,,,1
814,,,,,,,1
598,0,1793,0,1430361,0,"63654223,9",0
77,1,242,1,23733,1,"127620,4",0
956,0,3051,0,3656047,0,"260620729,3",0
395,,,,,,,1
956,0,2846,0,3655903,0,"260862491,9",0
513,,,,,,,1
977,0,2823,0,3818315,0,"278560415,6",0
561,0,1775,0,1258679,0,"52463287,2",0
19,,,,,,,1
745,0,2250,0,2220360,0,"123257623,5",0
910,,,,,,,1
503,,,,,,,1
371,,,,,,,1
823,,,,,,,1
974,0,2967,0,3795118,0,"275822021,2",0
974,0,2874,0,3794522,0,"275930604,2",0
139,,,,,,,1
499,,,,,,,1
535,,,,,,,1
341,,,,,,,1
896,,,,,,,1
679,,,,,,,1
488,0,1384,0,952762,0,"34576466,6",0
594,,,,,,,1
633,0,2025,0,1602916,0,"75431007,7",0
649,,,,,,,1
400,,,,,,,1
697,,,,,,,1
400,,,,,,,1
713,,,,,,,1
511,,,,,,,1
714,,,,,,,1
1,1,3,1,4,1,"-1,1",0
151,,,,,,,1
382,,,,,,,1
947,,,,,,,1
152,,,,,,,1
10,,,,,,,1
360,,,,,,,1
917,0,2889,0,3363288,0,"229995628,5",0
354,,,,,,,1
88,,,,,,,1
808,,,,,,,1
407,,,,,,,1
792,,,,,,,1
609,,,,,,,1
454,,,,,,,1
924,,,,,,,1
535,,,,,,,1
519,,,,,,,1
101,,,,,,,1
888,,,,,,,1
360,0,1035,0,518406,0,"13834395,6",0
43,1,121,1,7386,1,"21662,5",0
355,,,,,,,1
584,,,,,,,1
605,,,,,,,1
98,,,,,,,1
19,,,,,,,1
395,0,1221,0,623913,0,"18253185,6",0
545,,,,,,,1
464,,,,,,,1
270,0,821,0,291524,1,"5799244,2",0
117,,,,,,,1
929,,,,,,,1
133,1,382,1,70800,1,"683686,3",0
774,,,,,,,1
247,,,,,,,1
482,,,,,,,1
106,1,306,1,44942,1,"343071,8",0
440,,,,,,,1
946,,,,,,,1
360,0,1094,0,518580,0,"13809290,8",0
990,,,,,,,1
617,,,,,,,1
28,,,,,,,1
779,,,,,,,1
169,,,,,,,1
127,,,,,,,1
725,0,2232,0,2102802,0,"113537352,9",0
309,,,,,,,1
997,,,,,,,1
712,,,,,,,1
151,,,,,,,1
606,,,,,,,1
358,,,,,,,1
125,,,,,,,1
408,,,,,,,1
658,0,2053,0,1731947,0,"84797326,5",0
276,,,,,,,1
333,0,1043,0,443695,1,"10904610,8",0
955,,,,,,,1
13,,,,,,,1
657,,,,,,,1
999,0,3147,0,3991520,0,"297519329,9",0
455,,,,,,,1
807,,,,,,,1
144,1,454,1,82918,1,"862863,8",0
746,,,,,,,1
602,,,,,,,1
832,,,,,,,1
86,1,256,1,29625,1,"180672,1",0
470,,,,,,,1
518,,,,,,,1
346,,,,,,,1
995,,,,,,,1
295,,,,,,,1
214,1,679,1,183117,1,"2866206,7",0
794,,,,,,,1
511,0,1491,0,1044463,0,"39689679,4",0
682,,,,,,,1
221,,,,,,,1
97,,,,,,,1
837,,,,,,,1
549,,,,,,,1
996,,,,,,,1
760,,,,,,,1
756,,,,,,,1
234,,,,,,,1
860,,,,,,,1
549,,,,,,,1
889,,,,,,,1
551,,,,,,,1
293,,,,,,,1
166,1,513,1,110267,1,"1330681,7",0
583,,,,,,,1
225,,,,,,,1
135,,,,,,,1
918,,,,,,,1
878,,,,,,,1
493,,,,,,,1
839,,,,,,,1
80,,,,,,,1
312,,,,,,,1
707,0,2186,0,1999194,0,"105262173,1",0
266,,,,,,,1
354,,,,,,,1
984,,,,,,,1
387,,,,,,,1
625,0,1808,0,1562690,0,"72744683,7",0
